Sequence,PHYLUM,CLASS,ORDER,FAMILY,GENUS
S000503166,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Syntrophomonas
S000625523,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Syntrophomonas
S000712649,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Syntrophomonas
S000727903,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Syntrophomonas
S000770103,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Syntrophomonas
S000012437,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Thermosyntropha
S000022758,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Pelospora
S000012367,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Acetohalobium
S000001988,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Halanaerobacter
S000003508,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Halanaerobacter
S000015715,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Halobacteroides
S000414691,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Halobacteroides
S000001987,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Orenia
S000388247,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Orenia
S000414855,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Orenia
S000129988,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Natroniella
S001044581,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Halanaerobaculum
S000021835,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Selenihalanaerobacter
S000434429,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Halonatronum
S000009638,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae,Halanaerobium
S000276245,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae,Halanaerobium
S000276984,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae,Halanaerobium
S000382579,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae,Halanaerobium
S000382666,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae,Halanaerobium
S000414520,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae,Halanaerobium
S000435928,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae,Halanaerobium
S000438441,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae,Halanaerobium
S000438630,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae,Halanaerobium
S000414511,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae,Halothermothrix
S000001986,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae,Halocella
S000383946,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermanaeromonas
S000008574,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter
S000009537,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter
S000009713,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter
S000126566,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter
S000380291,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter
S000381352,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter
S000389735,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter
S000414338,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter
S000414339,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter
S000414340,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter
S000414341,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter
S000414342,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter
S000414343,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter
S000414344,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter
S000414345,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter
S000437159,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter
S000871120,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter
S001328273,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Fervidicola
S000437566,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Caldanaerobius
S000438421,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Caldanaerobius
S000942310,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Caldanaerobius
S000610930,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Carboxydothermus
S000610932,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Carboxydothermus
S000610934,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Carboxydothermus
S000610936,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Carboxydothermus
S000860160,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Carboxydothermus
S002287050,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Carboxydothermus
S002289489,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Carboxydothermus
S002290132,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Carboxydothermus
S002290894,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Carboxydothermus
S000000935,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermacetogenium
S000614201,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Desulfovirgula
S000391487,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Gelria
S000118083,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Tepidanaerobacter
S000389225,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Caldanaerobacter
S000388584,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Carboxydibrachium
S000384714,Firmicutes,Clostridia,Thermoanaerobacterales,Thermodesulfobiaceae,Thermodesulfobium
S000020185,Firmicutes,Clostridia,Thermoanaerobacterales,Thermodesulfobiaceae,Coprothermobacter
S000127397,Firmicutes,Clostridia,Thermoanaerobacterales,Thermodesulfobiaceae,Coprothermobacter
S000594898,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermosediminibacter
S000594899,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermosediminibacter
S000414347,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacterium
S000414349,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacterium
S000414350,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacterium
S000752404,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacterium
S000842177,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacterium
S000006584,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Caldicellulosiruptor
S000130733,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Caldicellulosiruptor
S000438493,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Caldicellulosiruptor
S000454134,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Caldicellulosiruptor
S000769192,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Caldicellulosiruptor
S000769193,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Caldicellulosiruptor
S001044348,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Caldanaerovirga
S000434673,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermovenabulum
S000461140,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Mahella
S000010116,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix
S000106168,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix
S000263801,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix
S000006979,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Holdemania
S000382866,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Coprobacillus
S000389354,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Bulleidia
S000382898,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Solobacterium
S000022658,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Catenibacterium
S000247984,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Allobaculum
S000392070,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Turicibacter
S000274852,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Pectinatus
S000614760,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Pectinatus
S000395077,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Megasphaera
S000414683,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Megasphaera
S000438884,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Megasphaera
S000614758,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Megasphaera
S000614759,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Megasphaera
S000390719,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Selenomonas
S000390720,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Selenomonas
S000390721,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Selenomonas
S000390722,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Selenomonas
S000390723,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Selenomonas
S000427299,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Selenomonas
S000436606,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Selenomonas
S000769745,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Selenomonas
S000000658,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Sporomusa
S000004840,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Sporomusa
S000008950,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Sporomusa
S000014353,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Sporomusa
S000016146,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Sporomusa
S000147123,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Sporomusa
S000650669,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Sporomusa
S000112718,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Acetonema
S000348929,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Veillonella
S000348931,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Veillonella
S000368427,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Veillonella
S000368428,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Veillonella
S000369361,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Veillonella
S000388824,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Veillonella
S000395079,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Veillonella
S000528124,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Veillonella
S000769402,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Veillonella
S000776650,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Veillonella
S000927119,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Veillonella
S000614426,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Zymophilus
S000011947,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Dialister
S000398983,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Dialister
S000446390,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Dialister
S000478276,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Dialister
S001093529,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Dialister
S000010043,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Mitsuokella
S000429465,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Mitsuokella
S000001638,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Schwartzia
S001743548,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Sporolituus
S000428417,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Anaeromusa
S000000738,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Anaerovibrio
S000112584,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Centipeda
S000016925,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Propionispira
S000775371,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Sporotalea
S000008602,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Propionispora
S000351774,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Propionispora
S000612595,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Pelosinus
S000112472,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Dendrosporobacter
S000391947,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Anaeroglobus
S000020429,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Megamonas
S000981170,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Megamonas
S000994709,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Megamonas
S000112934,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Anaeroarcus
S000112717,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Anaerosinus
S000432772,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Allisonella
S000008814,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Acidaminococcus
S000395078,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Acidaminococcus
S000013701,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Phascolarctobacterium
S000131229,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Succiniclasticum
S000002782,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Succinispira
S001156637,Firmicutes,Bacilli,Bacillales,Bacillaceae,Lysinibacillus
S000775856,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
S000544091,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium
S000387121,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thiomicrospira
S000387122,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thiomicrospira
S000387124,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thiomicrospira
S000387146,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thiomicrospira
S000435957,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thiomicrospira
S000439523,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thiomicrospira
S000483880,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thiomicrospira
S000483881,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thiomicrospira
S000651100,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thiomicrospira
S000437509,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Piscirickettsia
S000015332,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Hydrogenovibrio
S000414621,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Cycloclasticus
S000127597,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Methylophaga
S000128224,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Methylophaga
S000128225,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Methylophaga
S000392835,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Methylophaga
S000654042,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Methylophaga
S000387299,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thioalkalimicrobium
S000387300,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thioalkalimicrobium
S000391693,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thioalkalimicrobium
S000805073,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thioalkalimicrobium
S000627947,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Sulfurivirga
S000429044,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Beggiatoa
S000018394,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiothrix
S000383242,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiothrix
S000383255,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiothrix
S000436024,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiothrix
S000004758,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Leucothrix
S000128268,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella
S000618645,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella
S000618647,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella
S000653220,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella
S001350753,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella
S000001311,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter
S000427769,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter
S000427770,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter
S000427773,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter
S000427774,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter
S000427775,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter
S000427777,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter
S000427779,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter
S000925450,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter
S000021184,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter
S000113887,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter
S000114066,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter
S000114246,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter
S000128849,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter
S000129485,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter
S000131263,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter
S000134034,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter
S000381739,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter
S000381743,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter
S000381744,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter
S000381745,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter
S000503537,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter
S000539659,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter
S000622205,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter
S000007314,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Erwinia
S000015345,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Erwinia
S000021308,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Erwinia
S000021583,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Erwinia
S000128851,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Erwinia
S000381176,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Erwinia
S000396754,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Erwinia
S000629150,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Erwinia
S000769657,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Erwinia
S000436518,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Hafnia
S000387361,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella
S000003514,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella
S000021704,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella
S000324392,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella
S000387414,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella
S000458520,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella
S000000149,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Kluyvera
S000015063,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Kluyvera
S000022462,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Kluyvera
S000470254,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Kluyvera
S000129416,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Morganella
S000721631,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Morganella
S000721642,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Morganella
S000004373,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Proteus
S000728627,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Proteus
S000728629,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Proteus
S000728630,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Proteus
S000728633,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Proteus
S000001277,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Providencia
S000127327,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Providencia
S000544651,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Providencia
S000544652,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Providencia
S000544654,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Providencia
S000544657,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Providencia
S000006115,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella
S000427858,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella
S000926440,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella
S000926444,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella
S000926445,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella
S000926448,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella
S002235647,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella
S000005219,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia
S000007381,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia
S000010445,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia
S000010448,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia
S000012783,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia
S000014683,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia
S000015029,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia
S000015406,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia
S000016955,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia
S000020768,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia
S000116423,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia
S000381746,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia
S000531179,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia
S000903064,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia
S000000258,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella
S000013935,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella
S000405472,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Xenorhabdus
S000405473,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Xenorhabdus
S000405474,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Xenorhabdus
S000413912,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Xenorhabdus
S000413914,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Xenorhabdus
S000420421,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Xenorhabdus
S000539632,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Xenorhabdus
S000539633,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Xenorhabdus
S000539634,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Xenorhabdus
